,AutoClass
0,0.000881057268722467
1,0
2,0
3,0
4,0
5,0
6,0.000255754475703325
7,0
8,0.00033311125916056
9,0.000554323725055432
10,0.000585480093676815
11,0.000573065902578797
12,0
13,0.000892060660124889
14,0
15,0
16,0
17,0.0037593984962406
18,0.000708466170740347
19,0.000371057513914657
20,0.00127334465195246
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0.000208159866777685
36,0.000195618153364632
37,0
38,0
39,0.000598623166716552
40,0.000206398348813209
41,0
42,0.0002040399918384
43,0
44,0
45,0
46,0
47,0
48,0
49,0.000246791707798618
50,0
51,0
52,0.000629326620516048
53,0
54,0
55,0.000504540867810293
56,0.000334896182183523
57,0.000306936771025169
58,0.000947867298578199
59,0
60,0
61,0
62,0
63,0.000298329355608592
64,0
65,0
66,0.000542888165038002
67,0.00111234705228031
68,0.00131851572800904
69,0.000385059684251059
70,0.000950209045990118
71,0.000752445447705041
72,0.000839207787848271
73,0.00032916392363397
74,0.000982157472581437
75,0.00174703004891684
76,0.00216998191681736
77,0.00136612021857923
78,0.00105485232067511
79,0.00070298769771529
80,0.00278164116828929
81,0.00172117039586919
82,0.001743679163034
83,0.00117233294255569
84,0.00120481927710843
85,0.000607164541590771
86,0.000508388408744281
87,0.0014570179698883
88,0.00181488203266788
89,0.00108049702863317
90,0.000543478260869565
91,0.00040950040950041
92,0.000412201154163232
93,0.000799041150619257
94,0.000604229607250755
95,0.00305343511450382
96,0.00268528464017186
97,0
98,0.00127496812579686
99,0
100,0.00271444082519001
101,0.00122249388753056
102,0.00168747890651367
103,0.00251098556183302
104,0.000615574022776239
105,0.000630517023959647
106,0.000311720698254364
107,0.000310077519379845
108,0.000308356460067838
109,0.000312989045383412
110,0.000637551801083838
111,0.00119545726240287
112,0.00054525627044711
113,0.00099601593625498
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0.000134210173131123
125,0
126,0.000122759636631476
127,0
128,0
129,0.000309310238168883
130,0
131,0
132,0
133,0
134,0
135,0
136,0.00088261253309797
137,0
138,0
139,0.00109289617486339
140,0.000979431929480901
141,0.0010443864229765
142,0
143,0
144,0.000940733772342427
145,0.000914076782449726
146,0
147,0.00188323917137476
148,0
149,0.000601684717208183
150,0
151,0.000637755102040816
152,0
153,0
154,0
155,0
156,0.000375234521575985
157,0
158,0
159,0
160,0.000191828122002686
161,0.00019739439399921
162,0
163,0.000168719419605197
164,0.000618811881188119
165,0
166,0.000261985852763951
167,0.000215796288303841
168,0.000228310502283105
169,0
170,0
171,0.000184672206832872
172,0.000178030977390066
173,0.000221827861579414
174,0
175,0
176,0
177,0
178,0
179,0.00050778605280975
180,0.000148544266191325
181,0
182,0
183,0
184,0.000283728188395517
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0.000145285485979951
196,0
197,0
198,0.000302755071147442
199,0
200,0.000710227272727273
201,0.000227946204695692
202,0.000729394602479942
203,0
204,0
205,0.000118764845605701
206,0
207,0
208,0
209,0
210,0
211,0
212,0.000288142918887768
213,0
214,0
215,0.000227946204695692
216,0
217,0.000201126307320998
218,0.000387972841901067
219,0.0005859375
220,0.000196309383588536
221,0.00032932652725177
222,0.000153704272978789
223,0.000161812297734628
224,0
225,0.000374111485222596
226,0.00036556388228843
227,0.000596065964633419
228,0.000650618087182824
229,0.00016627868307283
230,0.00019739439399921
231,0
232,0.000228362639872117
233,0.000223563603845294
234,0.000261301280376274
235,0.000476303881876637
236,0
237,0.000207511931936086
238,0.000212359311955829
239,0
240,0.000214776632302405
241,0.000219683655536028
242,0
243,0.000174185681936945
244,0.000171969045571797
245,0
246,0.000135446295543817
247,0.000136686714051394
248,0
249,0
250,0
251,0.00026048450117218
252,0.000527055516514406
253,0.00032599837000815
254,0
255,0
256,0.00137513751375138
257,0.000418410041841004
258,0
259,0.000333333333333333
260,0
261,0
262,0.000844059928254906
263,0
264,0.000408997955010225
265,0.00022691173133651
266,0
267,0
268,0.00106496272630458
269,0.000215285252960172
270,0.000212359311955829
271,0
272,0.000207641196013289
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,0.000715819613457409
281,0
282,0
283,0
284,0
285,0
286,0.000247586036147561
287,0
288,0
289,0
290,0
291,0.00033178500331785
292,0.000698324022346369
293,0
294,0.000484027105517909
295,0
296,0.000488758553274682
297,0
298,0
299,0.000245218244237371
300,0
301,0
302,0
303,0
304,0
305,0.000400721298337007
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0.00196850393700787
315,0.00152671755725191
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0.000138312586445367
328,0
329,0
330,0
331,0.000138045278851463
332,0
333,0.000444181225940184
334,0
335,0
336,0
337,0
338,0
339,0.000261917234154007
340,0
341,0
342,0.000325520833333333
343,0
344,0
345,0
346,0
347,0.000301386377335744
348,0.000573558933180384
349,0
350,0.00110192837465565
351,0.000333778371161549
352,0.000620925178515989
353,0.000542593597395551
354,0.000591715976331361
355,0
356,0
357,0
358,0
359,0
360,0.000303122158229767
361,0
362,0
363,0
364,0.000213492741246798
365,0.000454338936846888
366,0.000422654268808115
367,0
368,0.000412711514651259
369,0
370,0.000192492781520693
371,0.000196463654223969
372,0
373,0
374,0
375,0.000651465798045603
376,0
377,0
378,0.000490436488474743
379,0
380,0
381,0.00036556388228843
382,0
383,0
384,0.000513347022587269
385,0.000452488687782805
386,0
387,0.000202183582693085
388,0
389,0.000337666722944454
390,0
391,0.00120772946859903
392,0
393,0.00220264317180617
394,0.00275785990071704
395,0.00222098833981122
396,0.00466977985323549
397,0.00201207243460765
398,0.00391134289439374
399,0.00050761421319797
400,0.000471698113207547
401,0.00132978723404255
402,0
403,0.00177095631641086
404,0.00238521168753727
405,0.00171086398631309
406,0.00315955766192733
407,0.00168776371308017
408,0.00079428117553614
409,0.000819672131147541
410,0.0016
411,0.000677966101694915
412,0.00194300518134715
413,0.00312695434646654
414,0.00108342361863489
415,0.00323974082073434
416,0.00115606936416185
417,0.00180505415162455
418,0
419,0
420,0.00216919739696312
421,0.00422832980972516
422,0
423,0
424,0
425,0
426,0.000719320961012804
427,0.000291247997670016
428,0.000502134069796636
429,0
430,0.000565397663022993
431,0.00133715377268386
432,0.000956205775482884
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,0.000494559841740851
447,0
448,0
449,0
450,0
451,0
452,0.000364896916621055
453,0
454,0.000387221684414327
455,0
456,0
457,0
458,0
459,0.000203334688897926
460,0
461,0
462,0.00024612355402412
463,0
464,0
465,0
466,0.00016914749661705
467,0
468,0.000225784601490178
469,0.000147950880307738
470,0
471,0.000183789744532255
472,0.000186081131373279
473,0.00273972602739726
474,0.00065402223675605
475,0
476,0.000210349179638199
477,0
478,0
479,0
480,0.000514668039114771
481,0
482,0.000268528464017186
483,0
484,0.000248880039820806
485,0.000349162011173184
486,0.000338868180277872
487,0.00065167807103291
488,0
489,0.00130975769482646
490,0.000337495781302734
491,0.000589970501474926
492,0.000296471983397569
493,0.000292825768667643
494,0.000313676286072773
495,0
496,0
497,0.00030229746070133
498,0
499,0
500,0
501,0
502,0.000143225436837582
503,0
504,0.000277777777777778
505,0.0006918500069185
506,0
507,0.000202470135654991
508,0.000483792936623125
509,0.000464684014869888
510,0.000798084596967279
511,0.000868558193398958
512,0.000654878847413229
513,0
514,0.000428816466552316
515,0
516,0
517,0.000237925291458482
518,0
519,0.000227531285551763
520,0.000216076058772688
521,0.000312695434646654
522,0
523,0
524,0
525,0
526,0
527,0.00019712201852947
528,0
529,0
530,0
531,0
532,0
533,0
534,0
535,0
536,0
537,0.000183553597650514
538,0
539,0
540,0.00229885057471264
541,0.00319210679048172
542,0.00228102189781022
543,0.00376157407407407
544,0.0023551577955723
545,0
546,0.00060618306728632
547,0.000399760143913652
548,0.000199084212621939
549,0.000609384521633151
550,0
551,0.00105708245243129
552,0.000881834215167548
553,0.000918062887307781
554,0.000718390804597701
555,0.00173525037183937
556,0.000498753117206983
557,0.000148787382829936
558,0
559,0.000655200655200655
560,0.000796812749003984
561,0.000797066794197354
562,0.000974848898420745
563,0.000570776255707763
564,0.000194439043359907
565,0.000324464633354964
566,0.000609384521633151
567,0.000566411781365052
568,0.000973709834469328
569,0.00078125
570,0
571,0.00179775280898876
572,0.00038971161340608
573,0.000403551251008878
574,0
575,0.0015353121801433
576,0
577,0
578,0.000508905852417303
579,0
580,0.000258464719565779
581,0
582,0
583,0.000531914893617021
584,0
585,0.000572246065808298
586,0.000275558004960044
587,0.000557103064066852
588,0.00028604118993135
589,0
590,0
591,0
592,0
593,0.000798296966471527
594,0
595,0
596,0
597,0
598,0.000310655483069276
599,0.000318167356029271
600,0
601,0.00012453300124533
602,0
603,0.000123793018073781
604,0.000134066228716986
605,0.000126502213788741
606,0.00013271400132714
607,0
608,0.000142429853297251
609,0
610,0
611,0.000128221566867547
612,0
613,0
614,0
615,0
616,0
617,0.000274876305662452
618,0
619,0
620,0
621,0
622,0.000176553672316384
623,0
624,0
625,0.000169319336268202
626,0.000494396835860251
627,0
628,0.00022212350066637
629,0
630,0.000659630606860158
631,0
632,0.000220118864186661
633,0
634,0.000677659814772984
635,0.000230627306273063
636,0
637,0.000230733733271804
638,0
639,0.000432525951557093
640,0
641,0
642,0
643,0
644,0
645,0
646,0
647,0
648,0
649,0
650,0
651,0
652,0.000269832703723691
653,0
654,0
655,0
656,0
657,0
658,0
659,0
660,0
661,0
662,0
663,0
664,0
665,0.000144592249855408
666,0
667,0
668,0
669,0.000163612565445026
670,0
671,0
672,0
673,0
674,0
675,0
676,0
677,0
678,0.00178890876565295
679,0
680,0
681,0
682,0
683,0
684,0
685,0
686,0
687,0
688,0
689,0
690,0.000152951973080453
691,0
692,0.000151171579743008
693,0
694,0
695,0
696,0
697,0
698,0
699,0.000483675937122128
700,0
701,0.000433745391455216
702,0.0023696682464455
703,0.000727272727272727
704,0.000177525297354873
705,0.000172057811424639
706,0.00047812574707148
707,0.000728862973760933
708,0.00046029919447641
709,0.000455373406193078
710,0
711,0
712,0.00123304562268804
713,0.000453103760761214
714,0.0031055900621118
715,0.000283848992336077
716,0.000604229607250755
717,0.000307692307692308
718,0.000515463917525773
719,0.000780437044745057
720,0
721,0.00108108108108108
722,0.000679194023092597
723,0.000225326723749437
724,0
725,0
726,0
727,0.000225886604924328
728,0.00062879899392161
729,0
730,0.000212404418011895
731,0.000205044084478163
732,0.000197277569540343
733,0
734,0.000130446125750065
735,0
736,0.000150920615756112
737,0
738,0
739,0.000240615976900866
740,0
741,0
742,0
743,0.000245579567779961
744,0.000244200244200244
745,0.000236686390532544
746,0
747,0
748,0
749,0.000244259892525647
750,0
751,0.000225275963054742
752,0.000150489089541008
753,0.000443655723158829
754,0
755,0.000763358778625954
756,0.000382409177820268
757,0
758,0.000338983050847458
759,0
760,0.000512995896032832
761,0
762,0
763,0.00019387359441644
